#,ESTABLECIMIENTO,TIPO,CALLE,NUMERO,DEPTO,PARTIDO,PROVINCIA,GMAPS,PROFESIONAL,SERVICIO,AREA,HORARIOS,TELEFONO,EMAIL,WEB,COMENTARIOS,
105,Centro de Salud Villa Vatteone,Público,Av. 12 de Octubre,363,,Florencio Varela,Buenos Aires,https://goo.gl/maps/vxULcaDNJHv,,Ginecología,,Lunes a viernes 8 a 14 hs,011 4287 3160,,,Realización de PAP,
106,Centro de Salud Villa Vatteone,Público,Av. 12 de Octubre,363,,Florencio Varela,Buenos Aires,https://goo.gl/maps/vxULcaDNJHv,,Vacunación,,Lunes a viernes 8 a 14 hs,011 4287 3160,,,,
107,Centro de Salud Villa Vatteone,Público,Av. 12 de Octubre,363,,Florencio Varela,Buenos Aires,https://goo.gl/maps/vxULcaDNJHv,,Endocrinología / Hormonización,,Lunes a viernes 8 a 14 hs,011 4287 3160,,,,
119,CeSAC 39,Público,24 de Noviembre,1679,,Boedo,CABA,https://goo.gl/maps/CWzMo9xX9Kz,,Testeo VIH y otras ITS,CEPAD,Lunes de 10 a 13 y 14 a 16:30 hs.,011 4911 3576,,,Se realiza test rápido de VIH.,
120,CeSAC 39,Público,24 de Noviembre,1679,,Boedo,CABA,https://goo.gl/maps/CWzMo9xX9Kz,Diego Dostal (Endocrinólogo),Endocrinología / Hormonización,,Jueves 9 a 11 hs.,011 4911 3576,,,Hormonización para mujeres y hombres trans.,
67,Casa Trans,Organización Social,Av. Jujuy,1343,,San Cristóbal,CABA,https://goo.gl/maps/purmh8fHEcr,,Testeo VIH y otras ITS,,Martes y jueves 16 a 20 hs.,011 50326335,atttainfo@gmail.com,http://attta.org.ar/,,
68,Casa Trans,Organización Social,Av. Jujuy,1343,,San Cristóbal,CABA,https://goo.gl/maps/purmh8fHEcr,,Vacunación,,Lunes a viernes 13 a 20 hs.,011 50326335,atttainfo@gmail.com,http://attta.org.ar/,Vacuna contra neumococo y antigripal. Consultar por teléfono para confirmar días y horarios.,
69,Casa Trans,Organización Social,Av. Jujuy,1343,,San Cristóbal,CABA,https://goo.gl/maps/purmh8fHEcr,,Psicología / Psiquiatría,,Lunes 14 a 16 hs.,011 50326335,atttainfo@gmail.com,http://attta.org.ar/,,
70,Casa Trans,Organización Social,Av. Jujuy,1343,,San Cristóbal,CABA,https://goo.gl/maps/purmh8fHEcr,,Deportes,,Viernes 19.30 hs.,011 50326335,atttainfo@gmail.com,http://attta.org.ar/,Fútbol mixto. Se juntan en Casa Trans y van a un polideportivo.,
71,Casa Trans,Organización Social,Av. Jujuy,1343,,San Cristóbal,CABA,https://goo.gl/maps/purmh8fHEcr,,Capacitación laboral,,Lunes a viernes 13 a 20 hs.,011 50326335,atttainfo@gmail.com,http://attta.org.ar/,Se realizan cursos sobre diferentes temáticas. Consultar oferta disponible.,
72,Casa Trans,Organización Social,Av. Jujuy,1343,,San Cristóbal,CABA,https://goo.gl/maps/purmh8fHEcr,,Servicio Social,,Lunes a viernes 13 a 20 hs.,011 50326335,atttainfo@gmail.com,http://attta.org.ar/,"Asesoramiento sobre pensiones, cambio registral, etc.",
73,Casa Trans,Organización Social,Av. Jujuy,1343,,San Cristóbal,CABA,https://goo.gl/maps/purmh8fHEcr,,Violencia,,Lunes a viernes 13 a 20 hs.,011 50326335,atttainfo@gmail.com,http://attta.org.ar/,Asesoramiento y articulación con la Defensoría LGBT.,
74,Casa Trans,Organización Social,Av. Jujuy,1343,,San Cristóbal,CABA,https://goo.gl/maps/purmh8fHEcr,,Educación,,Miércoles 14 hs.,011 50326335,atttainfo@gmail.com,http://attta.org.ar/,Apoyo para terminalidad educativa de primario y secundario.,
275,Hospital Municipal Ramón Santamarina,Público,General Paz,1406,,Tandil,Buenos Aires,https://goo.gl/maps/XURAHWCrddy,,Atención médica general,Unidad de Medicina Familiar Consultorio Diversidad,,0249 44 220 10 al 14 int 216,,http://hospitaldbv.hrsantamarina.org.ar/c/turnos/291,,
276,Hospital Municipal Ramón Santamarina,Público,General Paz,1406,,Tandil,Buenos Aires,https://goo.gl/maps/XURAHWCrddy,,Endocrinología / Hormonización,Unidad de Medicina Familiar Consultorio Diversidad,,0249 44 220 10 al 14 int 216,,http://hospitaldbv.hrsantamarina.org.ar/c/turnos/291,,
412,Unidad Sanitaria Nº 34,Público,Perdriel,,,Merlo,Buenos Aires,https://goo.gl/maps/a3FNNsbriLw,Dra. Natalia Piluzo,Atención médica general,Consultorio Diversidad,Martes 8 a 15 hs.,0220 485 1430,,,,
414,Unidad Sanitaria Nº 5,Público,De la Unión,1205,,Merlo,Buenos Aires,https://goo.gl/maps/JMTmLGCKs1z,Dra. Natalia Piluzo,Atención médica general,Consultorio Diversidad,Viernes 10 a 15 hs.,0220 493 0822,,,,
415,Unidad Sanitaria Nº 5,Público,De la Unión,1205,,Merlo,Buenos Aires,https://goo.gl/maps/JMTmLGCKs1z,,Endocrinología / Hormonización,Consultorio Diversidad,Viernes 10 a 15 hs.,0220 493 0822,,,Hormonización para mujeres y hombres trans.,
410,Unidad Sanitaria Nº 11,Público,Av. José de San Martín,,,Merlo,Buenos Aires,https://goo.gl/maps/Ag1jfSjAkGp,Dra. Natalia Piluzo,Atención médica general,Consultorio Diversidad,Miercoles y jueves 8:30 a 14 hs.,0220 480 0111,,,,
411,Unidad Sanitaria Nº 11,Público,Av. José de San Martín,,,Merlo,Buenos Aires,https://goo.gl/maps/Ag1jfSjAkGp,Dra. Natalia Piluzo,Endocrinología / Hormonización,Consultorio Diversidad,Miercoles y jueves 8:30 a 14 hs.,0220 480 0111,,,Hormonización para mujeres y hombres trans.,
257,Hospital Municipal Dr. Angel Pintos,Público,Amado Diab,270,,Azul,Buenos Aires,https://goo.gl/maps/QQDNa5Gt51F2,,Atención médica general,Consultorio Diversidad,Lunes a Viernes 8 a 13 hs.,02281 43 5200 int 433127,,,Sexología: Miércoles 17 hs.,
258,Hospital Municipal Dr. Angel Pintos,Público,Amado Diab,270,,Azul,Buenos Aires,https://goo.gl/maps/QQDNa5Gt51F2,,Endocrinología / Hormonización,Consultorio Diversidad,Lunes a Viernes 8 a 13 hs.,02281 43 5200 int 433127,,,Sexología: Miércoles 17 hs.,
168,Fundación Huésped,Organización Social,Carlos Gianantonio (ex Peluffo),3932,,Almagro,CABA,https://goo.gl/maps/nZm9L2jZkvs,Dra. Noelia Cabrera,Endocrinología / Hormonización,,Martes 14 a 16 hs.,0800 222 4837,info@huesped.org.ar,https://www.huesped.org.ar,Hormonización para mujeres y hombres que inician tratamiento hormonal. Requiere turno previo. Hay acompañamiento de pares trans.,
169,Fundación Huésped,Organización Social,Carlos Gianantonio (ex Peluffo),3932,,Almagro,CABA,https://goo.gl/maps/nZm9L2jZkvs,,Capacitación laboral,Atención personalizada,Lunes a viernes 9 a 17 hs.,0800 222 4837,info@huesped.org.ar,https://www.huesped.org.ar,Entrevistas para la creación de curriculum y búsqueda de empleo. Hay acompañamiento de pares trans.,
170,Fundación Huésped,Organización Social,Carlos Gianantonio (ex Peluffo),3932,,Almagro,CABA,https://goo.gl/maps/nZm9L2jZkvs,,Servicio Social,Promoción de derechos,Lunes a viernes 9 a 17 hs.,0800 222 4837,info@huesped.org.ar,https://www.huesped.org.ar,"Asesoramiento y defensa legal en casos de discriminación (laboral, en ámbito educativo, salud, etc.), acompañamiento en reclamos de acceso a tratamientos, violación de confidencialidad, incumplimiento dentro del sistema de salud, temas de salud sexual y reproductiva, migración y seguros, entre otros.",
171,Fundación Huésped,Organización Social,Carlos Gianantonio (ex Peluffo),3932,,Almagro,CABA,https://goo.gl/maps/nZm9L2jZkvs,,Testeo VIH y otras ITS,,Lunes a viernes 13 a 17 hs.,0800 222 4837,info@huesped.org.ar,https://www.huesped.org.ar,Hay test rápdo de VIH. Se sugiere sacar turno previo. Hay acompañamiento de pares trans.,
99,Centro de Salud Mental Ameghino,Público,Av. Córdoba,3120,,Recoleta,CABA,https://goo.gl/maps/GCU8FtXURzF2,"Cecilia Montenegro, Leonor Suárez, Pablo Tajman, Juan Pablo Pulleiro",Psicología / Psiquiatría,,"Consultorios Externos Niños y Jóvenes Turno mañana: admisión Ma y Ju 8.30 hs.
Turno tarde: Lu y mi 12.30 hs.
Turno vespertino: admisión Lu y ju 15.30 hs.
Grupos. Niños, adolescentes, padres, admisión: Lu 12.30 hs.",011 3723 0224,atencionpersonastrans@gmail.com,,"Atención psicológica a niñes, adolescentes y adultes. Orientación a familiares.",
7,Bachillerato Popular Mocha Celis,Organización Social,Av. Federico Lacroze,4181,,Chacarita,CABA,https://goo.gl/maps/PivFAyLp4ZB2,,Educación,,,011 4554-9048,bp.mochacelis@gmail.com,http://www.bachilleratomochacelis.edu.ar,Escuela secundaria y terminalidad de escuela primaria.,
226,Hospital José María Penna,Público,Pedro Chutro,3380,,Parque Patricios,CABA,https://goo.gl/maps/i4zbq1QRYfA2,,Testeo VIH y otras ITS,Infectología,,011 4911 7231,,,Se realiza test rápido de VIH.,
227,Hospital José María Penna,Público,Pedro Chutro,3380,,Parque Patricios,CABA,https://goo.gl/maps/i4zbq1QRYfA2,,Tratamiento VIH,Infectología,,011 4911 7231,,,,
151,Defensoría LGBT,Público,Av. de Mayo,881,2º piso J,Monserrat,CABA,https://goo.gl/maps/zHJr7mzvK9U2,,Servicio Social,,,011 4338-4900 int. 8106/8109,defensoria@lgbt.org.ar,http://www.buenosaires.gob.ar/guiajuridicagratuita/defensoria-lgbt-lesbianas-gays-bisexuales-y-trans,"Asesoramiento jurídico gratuito, servicio de consultoría e intervención ante situaciones de discriminación. Facebook: https://www.facebook.com/defensorialgbt",
152,Defensoría LGBT,Público,Av. de Mayo,881,2º piso J,Monserrat,CABA,https://goo.gl/maps/zHJr7mzvK9U2,,Violencia,,,011 4338-4900 int. 8106/8109,defensoria@lgbt.org.ar,http://www.buenosaires.gob.ar/guiajuridicagratuita/defensoria-lgbt-lesbianas-gays-bisexuales-y-trans,Violencia de familia y doméstica Facebook: https://www.facebook.com/defensorialgbt,
157,Dirección General de Convivencia en la Diversidad,Público,Teniente gral Perón,3175,4°piso,Balvanera,CABA,https://goo.gl/maps/JH454rTX9bx,Natasha Steinberg,Servicio Social,,,011 4346 8900 Int. (4281),convivenciaenladiversidad@buenosaires.gob.ar,http://www.buenosaires.gob.ar/derechoshumanos/convivencia-en-la-diversidad,"Brinda apoyo, contención y asesoramiento integral en lo referente a la protección de derechos. Recibe denuncias de vulneración de derechos.",
3,Asociación Civil Nexo,Organización Social,Av. Callao,339,6º A y B,San Nicolás,CABA,https://goo.gl/maps/AnVFUQ8FXRL2,Alejandra Cuello,Testeo VIH y otras ITS,,Turnos por whatsapp. Lunes a viernes de 16:00 a 21:00 hs,54 11 6228-3770(turnos),info@nexo.org,http://www.nexo.org/,"Se realiza test rápido, no requiere turno, se solicitan dos horas de ayuno",
65,Cáritas - Comisión Nacional,Organización Social,Balcarce,236,1°piso,Monserrat,CABA,https://goo.gl/maps/ux1SRxYjTxD2,Sra. Zara Corbalan,Servicio Social,,,011 6091 0300 / 4342 8650 / 7931,comisionacional@caritas.org.ar,https://www.caritas.org.ar,"Fallecimiento, traslado y cajón gratis, también refugio.",
75,Cenareso - Hospital Especializado en Salud Mental y Adicciones,Público,Combate de los Pozos,2133,,Parque Patricios,CABA,https://goo.gl/maps/sbJ9hGAiAfr,,Consumo problemático de drogas/alcohol,,SIN turno: Lunes a viernes de 8 a 14 hs. CON turno: lunes a viernes de 14 a 20 hs.,Turnos: 011 4305 0091 al 96 Int. 1155/1106/2106,direccion@cenareso.gob.ar,https://hospitalbonaparte.gob.ar/,"El Hospital ofrece distintos tipos de tratamiento: Hospital de Día, consultorios externos, internación, dispositivo de Niñez y Adolescencia. Guardia 24 hs.",
416,Unidad Sanitaria Nueva Fiorito,Público,Larrazabal,2696,,Lomas de Zamora,Buenos Aires,https://goo.gl/maps/idpPPXpvvHG2,Ana Da Cruz,Salud reproductiva,Consultorio amigable,,011 2000 8647,usnuevafiorito@gmail.com,,,
417,Unidad Sanitaria Nueva Fiorito,Público,Larrazabal,2696,,Lomas de Zamora,Buenos Aires,https://goo.gl/maps/idpPPXpvvHG2,,Ginecología,Consultorio amigable,,011 2000 8647,usnuevafiorito@gmail.com,,,
418,Unidad Sanitaria Nueva Fiorito,Público,Larrazabal,2696,,Lomas de Zamora,Buenos Aires,https://goo.gl/maps/idpPPXpvvHG2,Ana Da Cruz,Psicología / Psiquiatría,Consultorio amigable,,011 2000 8647,usnuevafiorito@gmail.com,,,
419,Unidad Sanitaria Nueva Fiorito,Público,Larrazabal,2696,,Lomas de Zamora,Buenos Aires,https://goo.gl/maps/idpPPXpvvHG2,Ana Da Cruz,Salud bucal,Consultorio amigable,,011 2000 8647,usnuevafiorito@gmail.com,,,
420,Unidad Sanitaria Nueva Fiorito,Público,Larrazabal,2696,,Lomas de Zamora,Buenos Aires,https://goo.gl/maps/idpPPXpvvHG2,Ana Da Cruz,Servicio Social,Consultorio amigable,,011 2000 8647,usnuevafiorito@gmail.com,,,
421,Unidad Sanitaria Nueva Fiorito,Público,Larrazabal,2696,,Lomas de Zamora,Buenos Aires,https://goo.gl/maps/idpPPXpvvHG2,Ana Da Cruz,Vacunación,Consultorio amigable,,011 2000 8647,usnuevafiorito@gmail.com,,,
422,Unidad Sanitaria Nueva Fiorito,Público,Larrazabal,2696,,Lomas de Zamora,Buenos Aires,https://goo.gl/maps/idpPPXpvvHG2,Ana Da Cruz,Testeo VIH y otras ITS,Consultorio amigable,,011 2000 8647,usnuevafiorito@gmail.com,,,
334,Policlínico Regional Villa Mercedes,Público,Maipú,450,,Villa Mercedes,San Luis,https://goo.gl/maps/XmUpjoRdhJM2,Alejandra Cuello,Testeo VIH y otras ITS,Consultorios Externos,todos los dias 8 y 13,02657 42-1415,infectologia_vm@yahoo.com.ar,,Se realiza test rápido de VIH.,
335,Policlínico Regional Villa Mercedes,Público,Maipú,450,,Villa Mercedes,San Luis,https://goo.gl/maps/XmUpjoRdhJM2,Alejandra Cuello,Tratamiento VIH,Consultorios Externos,Martes y Jueves desde 8 hs,02657 42-1415,infectologia_vm@yahoo.com.ar,,,
323,HZGA Balestrini,Público,Ruta 4,,,La Matanza,Buenos Aires,https://goo.gl/maps/6uQH2rJEUS22,José María Malvido,Atención médica general,Consultorio de salud sexual y reproductiva,,011 4620 1313,saludsexualbalestrini@gmail.com,,No supieron confirmarme dias ni horarios,
324,HZGA Balestrini,Público,Ruta 4,,,La Matanza,Buenos Aires,https://goo.gl/maps/6uQH2rJEUS22,,Testeo VIH y otras ITS,Laboratorio,,011 4620 1313,,,No supieron confirmarme dias ni horarios,
325,HZGA Balestrini,Público,Ruta 4,,,La Matanza,Buenos Aires,https://goo.gl/maps/6uQH2rJEUS22,José María Malvido,Tratamiento VIH,Consultorio de salud sexual y reproductiva,,011 4620 1313,saludsexualbalestrini@gmail.com,,No supieron confirmarme dias ni horarios,
326,HZGA Balestrini,Público,Ruta 4,,,La Matanza,Buenos Aires,https://goo.gl/maps/6uQH2rJEUS22,,Vacunación,,,011 4620 1313,,,No supieron confirmarme dias ni horarios,
327,HZGA Balestrini,Público,Ruta 4,,,La Matanza,Buenos Aires,https://goo.gl/maps/6uQH2rJEUS22,,Servicio Social,Servicio Social,,011 4620 1313,,,No supieron confirmarme dias ni horarios,
214,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,,Salud reproductiva,Ginecología,,03537 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
215,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,,Atención médica general,Consultorios externos,,3538 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
216,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,,Consumo problemático de drogas/alcohol,Salud Mental,,3539 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
217,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,,Psicología / Psiquiatría,Salud Mental,,3540 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
218,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,,Fonoaudiología,,,3541 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
219,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,,Ginecología,Ginecología,,3542 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
220,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,,Salud bucal,,,3543 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
221,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,,Servicio Social,,,3544 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
222,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,Lic. Flavia Pedano,Testeo VIH y otras ITS,Laboratorio - Cepat,,3545 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
223,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,Dr. Darío Quinodoz,Tratamiento VIH,Infectología,,3546 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
224,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,,Urología,,,3547 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
225,Hospital José Antonio Ceballos,Público,Gerónimo del Barco,1289,,Bell Ville,Córdoba,https://goo.gl/maps/7xuQcEYBvxj,,Vacunación,,,3548 42 1007,,https://www.facebook.com/hospitalbellvilleoficial/,No supieron confirmarme dias ni horarios,
82,Centro de Salud 7 de Mayo,Público,Barrio 7 de Mayo Mz 8,,,Formosa,Formosa,https://goo.gl/maps/u3Ss3srRd8q,Patricia Dojas,Salud reproductiva,Obstetricia y Enfermería,"Lunes, miércoles y viernes 14 a 18 hs. Martes y jueves 8 a 12 hs. Enfermería 24 hs.",,,,Provisión de preservativos y anticoncepción oral de emergencia.,
83,Centro de Salud 7 de Mayo,Público,Barrio 7 de Mayo Mz 8,,,Formosa,Formosa,https://goo.gl/maps/u3Ss3srRd8q,Dra. Graciela Viera,Atención médica general,Clínica Médica,Lunes a Viernes 10 a 13 hs.,,graviera65@hotmail.com,,,
84,Centro de Salud 7 de Mayo,Público,Barrio 7 de Mayo Mz 8,,,Formosa,Formosa,https://goo.gl/maps/u3Ss3srRd8q,Dra. Graciela Viera,Tratamiento VIH,Clínica Médica,Lunes a Viernes 10 a 13 hs.,,graviera65@hotmail.com,,"Atención médica, no provisión de medicamentos.",
85,Centro de Salud 7 de Mayo,Público,Barrio 7 de Mayo Mz 8,,,Formosa,Formosa,https://goo.gl/maps/u3Ss3srRd8q,"Eduardo Gaspar, Marina Rodríguez",Salud bucal,Odontología,Lunes a Viernes 8 a 10 hs. (con turno) Lunes a Viernes 13.30 a 15.30 hs.,,,,,
86,Centro de Salud 7 de Mayo,Público,Barrio 7 de Mayo Mz 8,,,Formosa,Formosa,https://goo.gl/maps/u3Ss3srRd8q,,Vacunación,Enfermería,24 hs.,,,,,
172,Fundacion Sayani,Organización Social,Calilegua,960,,San Salvador de Jujuy,Jujuy,https://goo.gl/maps/2PpNBztQKWF2,Dra. Patricia Gallardo,Atención médica general,,Lunes a Miércoles 10 a 18 hs. Jueves y Viernes 10 a 12.30 hs.,0388 4237635,,,Atención a personas con enfermedad hepática y transplante hepático,
353,Sanatorio Regional Luján de Cuyo,Privado,San Martín,928,,Luján de Cuyo,Mendoza,https://goo.gl/maps/kGVEDoQ9X1D2,Andrea Japaze,Testeo VIH y otras ITS,,Miércoles 18 hs.,(0261) 498-0224/ 0434 Whatsapp 2612054526,info@sregional.com.ar,http://www.sregional.com.ar,Se realiza test rápido de VIH.,
354,Sanatorio Regional Luján de Cuyo,Privado,San Martín,928,,Luján de Cuyo,Mendoza,https://goo.gl/maps/kGVEDoQ9X1D2,Andrea Japaze,Tratamiento VIH,,Miércoles 18 hs.,(0261) 498-0224/ 0434 Whatsapp 2612054526,,http://www.sregional.com.ar,,
279,Hospital Paroissien,Público,Godoy Cruz,475,,Maipú,Mendoza,https://goo.gl/maps/av9pywawFMF2,Andrea Japaze,Atención médica general,Infectología,Lunes a Jueves 10 hs,0261 497 2288,hosp-paroissien@mendoza.gov.ar,,,
280,Hospital Paroissien,Público,Godoy Cruz,475,,Maipú,Mendoza,https://goo.gl/maps/av9pywawFMF2,Andrea Japaze,Testeo VIH y otras ITS,Infectología,Lunes a Jueves 10 hs,0261 497 2288,hosp-paroissien@mendoza.gov.ar,,,
281,Hospital Paroissien,Público,Godoy Cruz,475,,Maipú,Mendoza,https://goo.gl/maps/av9pywawFMF2,Andrea Japaze,Tratamiento VIH,Infectología,Lunes a Jueves 10 hs,0261 497 2288,hosp-paroissien@mendoza.gov.ar,,Se realiza test rápido de VIH.,
156,Dirección de Género y Diversidad Provincia de Mendoza,Público,España,16,,Mendoza,Mendoza,https://goo.gl/maps/xtVook3KY562,,Servicio Social,,Lunes a Viernes 8 a 16 hs.,0261 424 2281/ 2281,dmgd@mendoza.gov.ar,,Asistencia social y legal. Ayuda económica a través de programa de abordaje integral. Hay acompañamiento de pares trans.,
333,Laboratorio BioMol,Privado,Santiago Del Estero,25,,Salta,Salta,https://goo.gl/maps/yTvtT9KicQS2,,Testeo VIH y otras ITS,,"Lunes a Viernes, por orden de llegada",0387 422 1988,laboratoriobiomol@hotmail.com,,Se realiza test rápido de VIH.,
295,Hospital Sr. del Milagro,Público,Sarmiento,556,,Salta,Salta,https://goo.gl/maps/wstLP4N3eR22,,Atención médica general,,,0387 431 7400,, , Turnos a partir de las 7hs,
296,Hospital Sr. del Milagro,Público,Sarmiento,556,,Salta,Salta,https://goo.gl/maps/wstLP4N3eR22,,Testeo VIH y otras ITS,Laboratorio Virología,,0387 431 7400,,, Turnos a partir de las 7hs,
297,Hospital Sr. del Milagro,Público,Sarmiento,556,,Salta,Salta,https://goo.gl/maps/wstLP4N3eR22,,Tratamiento VIH,,,0387 431 7400,,, Turnos a partir de las 7hs,
298,Hospital Sr. del Milagro,Público,Sarmiento,556,,Salta,Salta,https://goo.gl/maps/wstLP4N3eR22,,Vacunación,,,0387 431 7400,,, Turnos a partir de las 7hs,
299,Hospital Sr. del Milagro,Público,Sarmiento,556,,Salta,Salta,https://goo.gl/maps/wstLP4N3eR22,,Psicología / Psiquiatría,,,0387 431 7400,,, Turnos a partir de las 7hs,
300,Hospital Sr. del Milagro,Público,Sarmiento,556,,Salta,Salta,https://goo.gl/maps/wstLP4N3eR22,,Grupos de pares,,,0387 431 7400,,, Turnos a partir de las 7hs,
301,Hospital Sr. del Milagro,Público,Sarmiento,556,,Salta,Salta,https://goo.gl/maps/wstLP4N3eR22,,Consumo problemático de drogas/alcohol,,,0387 431 7400,,, Turnos a partir de las 7hs,
302,Hospital Sr. del Milagro,Público,Sarmiento,556,,Salta,Salta,https://goo.gl/maps/wstLP4N3eR22,,Servicio Social,,,0387 431 7400,,, Turnos a partir de las 7hs,
303,Hospital Sr. del Milagro,Público,Sarmiento,556,,Salta,Salta,https://goo.gl/maps/wstLP4N3eR22,,Violencia,,,0387 431 7400,,, Turnos a partir de las 7hs,
206,Hospital Interzonal Gral. José Penna,Público,Av. Lainez,2401,,Bahía Blanca,Buenos Aires,https://goo.gl/maps/r1R2H2bZoyx,,Atención médica general,,Lunes y viernes 8 a 13hs,0291-4593671 Interno (275),clinicamedicahpenna@yahoo.com.ar,http://www.hospitalpenna.com.ar/,,
207,Hospital Interzonal Gral. José Penna,Público,Av. Lainez,2401,,Bahía Blanca,Buenos Aires,https://goo.gl/maps/r1R2H2bZoyx,,Cirugías de afirmación de género,,Lunes y viernes 8 a 13hs,0291 4593600 int 308,direccion-penna@ms.gba.gov.ar / rrhhpenna@ms.gba.gov.ar,http://www.hospitalpenna.com.ar/,Colocación de prótesis mamaria. Hay lista de espera.,
307,Hospital Zonal General de Agudos Dr. Ricardo Gutiérrez,Público,Diagonal 114,,,La Plata,Buenos Aires,https://goo.gl/maps/S4WCr3DDDjo,Dr. Cesar Fidalgo,Cirugías de afirmación de género,,,0221-4830171 al 75 / 0221 4236141 al 43,direccion-gutierrez@ms.gba.gov.ar,,,
208,Hospital Interzonal Gral. José Penna,Público,Av. Lainez,2401,,Bahía Blanca,Buenos Aires,https://goo.gl/maps/r1R2H2bZoyx,,Testeo VIH y otras ITS,,Lunes y viernes 8 a 13hs,0291 4593600,direccion-penna@ms.gba.gov.ar / rrhhpenna@ms.gba.gov.ar,http://www.hospitalpenna.com.ar/,Se realiza test rápido de VIH.,
209,Hospital Interzonal Gral. José Penna,Público,Av. Lainez,2401,,Bahía Blanca,Buenos Aires,https://goo.gl/maps/r1R2H2bZoyx,,Ginecología,,Lunes y viernes 8 a 13hs,(0291) 4593600 (int 299),tocoginecologiapennabb@hotmail.com,http://www.hospitalpenna.com.ar/,,
210,Hospital Interzonal Gral. José Penna,Público,Av. Lainez,2401,,Bahía Blanca,Buenos Aires,https://goo.gl/maps/r1R2H2bZoyx,,Urología,,Lunes y viernes 8 a 13hs,0291 4593600 (int 311),direccion-penna@ms.gba.gov.ar / rrhhpenna@ms.gba.gov.ar,http://www.hospitalpenna.com.ar/,,
211,Hospital Interzonal Gral. José Penna,Público,Av. Lainez,2401,,Bahía Blanca,Buenos Aires,https://goo.gl/maps/r1R2H2bZoyx,,Servicio Social,,Lunes y viernes 8 a 13hs,0291 4593600,direccion-penna@ms.gba.gov.ar / rrhhpenna@ms.gba.gov.ar,http://www.hospitalpenna.com.ar/,,
212,Hospital Interzonal Gral. José Penna,Público,Av. Lainez,2401,,Bahía Blanca,Buenos Aires,https://goo.gl/maps/r1R2H2bZoyx,,Violencia,,Lunes y viernes 8 a 13hs,0291 4593600,direccion-penna@ms.gba.gov.ar / rrhhpenna@ms.gba.gov.ar,http://www.hospitalpenna.com.ar/,,
203,Hospital Infantil Sor María Ludovica,Público,Calle 14,1631,,La Plata,Buenos Aires,https://goo.gl/maps/aFr78rZ6ZyS2,,Atención médica general,Servicio de adolescencia - Consultorio Amigable,,0221 – 4535901 al 10 / 912 / 3,ludovica@ms.gba.gov.ar,,"Atención integral de la salud para niñxs y adolescentes trans. Seguimiento interdisciplinario de pacientes con patologías crónicas. Talleres en salud integral, sexual y reproductiva.",
144,Consultorio Magirena,Privado,Rosario,441,5 B,Caballito,CABA,https://goo.gl/maps/AZNzegakNzK2,Sandra Magirena,Salud reproductiva,,,(011) 4902-2947. Whatsapp (011)15-2328-6690,consultoriomagirena@gmail.com,http://www.sandramagirena.com.ar/,,
